frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"67","14:54:49.118452","100","1729","172.26.191.172","5000","1.497791000","48","1","33996","1.608784000"
"68","14:54:49.118454","100","1777","172.26.191.172","5000","1.497793000","48","1","33996","1.608786000"
"69","14:54:49.368563","52","1","100.64.0.5","33996","1.747902000","0","1777","5000","1.858895000"
"70","14:54:49.368606","100","1825","172.26.191.172","5000","1.747945000","48","1","33996","1.858938000"
"71","14:54:49.368616","100","1873","172.26.191.172","5000","1.747955000","48","1","33996","1.858948000"
"72","14:54:49.368628","100","1921","172.26.191.172","5000","1.747967000","48","1","33996","1.858960000"
"73","14:54:49.368630","100","1969","172.26.191.172","5000","1.747969000","48","1","33996","1.858962000"
"74","14:54:49.368637","100","2017","172.26.191.172","5000","1.747976000","48","1","33996","1.858969000"
"75","14:54:49.368638","100","2065","172.26.191.172","5000","1.747977000","48","1","33996","1.858970000"
"76","14:54:49.368644","100","2113","172.26.191.172","5000","1.747983000","48","1","33996","1.858976000"
"77","14:54:49.368646","100","2161","172.26.191.172","5000","1.747985000","48","1","33996","1.858978000"
"78","14:54:49.618671","64","1","100.64.0.5","33996","1.998010000","0","1777","5000","2.109003000"
"79","14:54:49.618705","100","1777","172.26.191.172","5000","1.998044000","48","1","33996","2.109037000"
"80","14:54:49.618733","64","1","100.64.0.5","33996","1.998072000","0","1777","5000","2.109065000"
"81","14:54:49.618747","100","2209","172.26.191.172","5000","1.998086000","48","1","33996","2.109079000"
"82","14:54:49.618769","64","1","100.64.0.5","33996","1.998108000","0","1777","5000","2.109101000"
"83","14:54:49.618779","64","1","100.64.0.5","33996","1.998118000","0","1777","5000","2.109111000"
"84","14:54:49.618787","100","2257","172.26.191.172","5000","1.998126000","48","1","33996","2.109119000"
"85","14:54:49.867334","52","1","100.64.0.5","33996","2.246673000","0","2161","5000","2.357666000"
"86","14:54:49.867370","100","2161","172.26.191.172","5000","2.246709000","48","1","33996","2.357702000"
"87","14:54:49.867390","100","2305","172.26.191.172","5000","2.246729000","48","1","33996","2.357722000"
"88","14:54:49.868574","64","1","100.64.0.5","33996","2.247913000","0","2161","5000","2.358906000"
"89","14:54:49.868620","100","2353","172.26.191.172","5000","2.247959000","48","1","33996","2.358952000"
"90","14:54:49.868631","100","2401","172.26.191.172","5000","2.247970000","48","1","33996","2.358963000"
"91","14:54:50.118762","52","1","100.64.0.5","33996","2.498101000","0","2305","5000","2.609094000"
"92","14:54:50.118800","100","2449","172.26.191.172","5000","2.498139000","48","1","33996","2.609132000"
"93","14:54:50.118824","52","1","100.64.0.5","33996","2.498163000","0","2449","5000","2.609156000"
"94","14:54:50.118840","100","2497","172.26.191.172","5000","2.498179000","48","1","33996","2.609172000"
"95","14:54:50.118842","100","2545","172.26.191.172","5000","2.498181000","48","1","33996","2.609174000"
"96","14:54:50.118850","100","2593","172.26.191.172","5000","2.498189000","48","1","33996","2.609182000"
"97","14:54:50.118851","100","2641","172.26.191.172","5000","2.498190000","48","1","33996","2.609183000"
"98","14:54:50.368118","52","1","100.64.0.5","33996","2.747457000","0","2689","5000","2.858450000"
"99","14:54:50.368155","100","2689","172.26.191.172","5000","2.747494000","48","1","33996","2.858487000"
"100","14:54:50.368164","100","2737","172.26.191.172","5000","2.747503000","48","1","33996","2.858496000"
"101","14:54:50.368176","100","2785","172.26.191.172","5000","2.747515000","48","1","33996","2.858508000"
"102","14:54:50.368177","100","2833","172.26.191.172","5000","2.747516000","48","1","33996","2.858509000"
"103","14:54:50.368183","100","2881","172.26.191.172","5000","2.747522000","48","1","33996","2.858515000"
"104","14:54:50.368185","100","2929","172.26.191.172","5000","2.747524000","48","1","33996","2.858517000"
"105","14:54:50.618347","52","1","100.64.0.5","33996","2.997686000","0","2977","5000","3.108679000"
"106","14:54:50.618384","100","2977","172.26.191.172","5000","2.997723000","48","1","33996","3.108716000"
"107","14:54:50.618393","100","3025","172.26.191.172","5000","2.997732000","48","1","33996","3.108725000"
"108","14:54:50.618404","100","3073","172.26.191.172","5000","2.997743000","48","1","33996","3.108736000"
"109","14:54:50.618406","100","3121","172.26.191.172","5000","2.997745000","48","1","33996","3.108738000"
"110","14:54:50.618411","100","3169","172.26.191.172","5000","2.997750000","48","1","33996","3.108743000"
"111","14:54:50.618413","100","3217","172.26.191.172","5000","2.997752000","48","1","33996","3.108745000"
"112","14:54:50.618418","100","3265","172.26.191.172","5000","2.997757000","48","1","33996","3.108750000"
"113","14:54:50.868576","52","1","100.64.0.5","33996","3.247915000","0","3313","5000","3.358908000"
"114","14:54:50.868617","100","3313","172.26.191.172","5000","3.247956000","48","1","33996","3.358949000"
"115","14:54:50.868628","100","3361","172.26.191.172","5000","3.247967000","48","1","33996","3.358960000"
"116","14:54:50.868641","100","3409","172.26.191.172","5000","3.247980000","48","1","33996","3.358973000"
"117","14:54:50.868642","100","3457","172.26.191.172","5000","3.247981000","48","1","33996","3.358974000"
"118","14:54:50.868649","100","3505","172.26.191.172","5000","3.247988000","48","1","33996","3.358981000"
"119","14:54:50.868651","100","3553","172.26.191.172","5000","3.247990000","48","1","33996","3.358983000"
"120","14:54:50.868657","100","3601","172.26.191.172","5000","3.247996000","48","1","33996","3.358989000"
"121","14:54:50.868659","100","3649","172.26.191.172","5000","3.247998000","48","1","33996","3.358991000"
"122","14:54:51.117959","52","1","100.64.0.5","33996","3.497298000","0","3649","5000","3.608291000"
"123","14:54:51.117998","100","3697","172.26.191.172","5000","3.497337000","48","1","33996","3.608330000"
"124","14:54:51.118006","100","3745","172.26.191.172","5000","3.497345000","48","1","33996","3.608338000"
"125","14:54:51.118017","100","3793","172.26.191.172","5000","3.497356000","48","1","33996","3.608349000"
