frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"68","15:02:33.502988","52","1","100.64.0.5","39720","1.246787000","0","1201","5000","1.248822000"
"69","15:02:33.753129","64","1","100.64.0.5","39720","1.496928000","0","1201","5000","1.498963000"
"70","15:02:33.753168","100","1201","172.26.191.172","5000","1.496967000","48","1","39720","1.499002000"
"71","15:02:33.753178","100","1249","172.26.191.172","5000","1.496977000","48","1","39720","1.499012000"
"72","15:02:33.753193","64","1","100.64.0.5","39720","1.496992000","0","1201","5000","1.499027000"
"73","15:02:33.753211","100","1825","172.26.191.172","5000","1.497010000","48","1","39720","1.499045000"
"74","15:02:33.753212","100","1873","172.26.191.172","5000","1.497011000","48","1","39720","1.499046000"
"75","15:02:33.753219","100","1921","172.26.191.172","5000","1.497018000","48","1","39720","1.499053000"
"76","15:02:33.753225","64","1","100.64.0.5","39720","1.497024000","0","1201","5000","1.499059000"
"77","15:02:33.753234","100","1969","172.26.191.172","5000","1.497033000","48","1","39720","1.499068000"
"78","15:02:33.753235","100","2017","172.26.191.172","5000","1.497034000","48","1","39720","1.499069000"
"79","15:02:34.003587","52","1","100.64.0.5","39720","1.747386000","0","1633","5000","1.749421000"
"80","15:02:34.003627","100","1633","172.26.191.172","5000","1.747426000","48","1","39720","1.749461000"
"81","15:02:34.003636","100","1681","172.26.191.172","5000","1.747435000","48","1","39720","1.749470000"
"82","15:02:34.003646","100","1729","172.26.191.172","5000","1.747445000","48","1","39720","1.749480000"
"83","15:02:34.003660","64","1","100.64.0.5","39720","1.747459000","0","1633","5000","1.749494000"
"84","15:02:34.003669","100","1777","172.26.191.172","5000","1.747468000","48","1","39720","1.749503000"
"85","15:02:34.003675","100","2065","172.26.191.172","5000","1.747474000","48","1","39720","1.749509000"
"86","15:02:34.003681","64","1","100.64.0.5","39720","1.747480000","0","1633","5000","1.749515000"
"87","15:02:34.003694","100","2113","172.26.191.172","5000","1.747493000","48","1","39720","1.749528000"
"88","15:02:34.003695","100","2161","172.26.191.172","5000","1.747494000","48","1","39720","1.749529000"
"89","15:02:34.003699","100","2209","172.26.191.172","5000","1.747498000","48","1","39720","1.749533000"
"90","15:02:34.253399","64","1","100.64.0.5","39720","1.997198000","0","1729","5000","1.999233000"
"91","15:02:34.253443","100","2257","172.26.191.172","5000","1.997242000","48","1","39720","1.999277000"
"92","15:02:34.253452","100","2305","172.26.191.172","5000","1.997251000","48","1","39720","1.999286000"
