frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"67","04:22:55.456461","100","2353","172.26.191.172","5000","0.725007000","48","1","42954","0.727014000"
"68","04:22:55.456467","52","1","100.64.0.5","42954","0.725013000","0","1057","5000","0.727020000"
"69","04:22:55.456477","100","2401","172.26.191.172","5000","0.725023000","48","1","42954","0.727030000"
"70","04:22:55.456478","100","2449","172.26.191.172","5000","0.725024000","48","1","42954","0.727031000"
"71","04:22:55.456485","100","2497","172.26.191.172","5000","0.725031000","48","1","42954","0.727038000"
"72","04:22:55.456486","100","2545","172.26.191.172","5000","0.725032000","48","1","42954","0.727039000"
"73","04:22:55.456492","52","1","100.64.0.5","42954","0.725038000","0","1153","5000","0.727045000"
"74","04:22:55.456500","100","2593","172.26.191.172","5000","0.725046000","48","1","42954","0.727053000"
"75","04:22:55.456501","100","2641","172.26.191.172","5000","0.725047000","48","1","42954","0.727054000"
"76","04:22:55.456515","100","2689","172.26.191.172","5000","0.725061000","48","1","42954","0.727068000"
"77","04:22:55.456516","100","2737","172.26.191.172","5000","0.725062000","48","1","42954","0.727069000"
"78","04:22:55.485814","52","1","100.64.0.5","42954","0.754360000","0","1249","5000","0.756367000"
"79","04:22:55.485856","100","2785","172.26.191.172","5000","0.754402000","48","1","42954","0.756409000"
"80","04:22:55.485867","100","2833","172.26.191.172","5000","0.754413000","48","1","42954","0.756420000"
"81","04:22:55.485880","100","2881","172.26.191.172","5000","0.754426000","48","1","42954","0.756433000"
"82","04:22:55.485881","100","2929","172.26.191.172","5000","0.754427000","48","1","42954","0.756434000"
"83","04:22:55.485894","52","1","100.64.0.5","42954","0.754440000","0","1345","5000","0.756447000"
"84","04:22:55.485907","100","2977","172.26.191.172","5000","0.754453000","48","1","42954","0.756460000"
"85","04:22:55.485909","100","3025","172.26.191.172","5000","0.754455000","48","1","42954","0.756462000"
"86","04:22:55.485917","100","3073","172.26.191.172","5000","0.754463000","48","1","42954","0.756470000"
"87","04:22:55.485919","100","3121","172.26.191.172","5000","0.754465000","48","1","42954","0.756472000"
"88","04:22:55.485927","52","1","100.64.0.5","42954","0.754473000","0","1441","5000","0.756480000"
"89","04:22:55.485937","100","3169","172.26.191.172","5000","0.754483000","48","1","42954","0.756490000"
"90","04:22:55.485938","100","3217","172.26.191.172","5000","0.754484000","48","1","42954","0.756491000"
"91","04:22:55.485947","100","3265","172.26.191.172","5000","0.754493000","48","1","42954","0.756500000"
"92","04:22:55.485948","100","3313","172.26.191.172","5000","0.754494000","48","1","42954","0.756501000"
"93","04:22:55.698774","52","1","100.64.0.5","42954","0.967320000","0","1537","5000","0.969327000"
"94","04:22:55.698815","100","3361","172.26.191.172","5000","0.967361000","48","1","42954","0.969368000"
"95","04:22:55.698825","100","3409","172.26.191.172","5000","0.967371000","48","1","42954","0.969378000"
"96","04:22:55.698836","100","3457","172.26.191.172","5000","0.967382000","48","1","42954","0.969389000"
"97","04:22:55.698837","100","3505","172.26.191.172","5000","0.967383000","48","1","42954","0.969390000"
"98","04:22:55.698850","52","1","100.64.0.5","42954","0.967396000","0","2113","5000","0.969403000"
"99","04:22:55.698867","100","3553","172.26.191.172","5000","0.967413000","48","1","42954","0.969420000"
"100","04:22:55.698868","100","3601","172.26.191.172","5000","0.967414000","48","1","42954","0.969421000"
"101","04:22:55.698875","100","3649","172.26.191.172","5000","0.967421000","48","1","42954","0.969428000"
"102","04:22:55.698877","100","3697","172.26.191.172","5000","0.967423000","48","1","42954","0.969430000"
"103","04:22:55.698884","100","3745","172.26.191.172","5000","0.967430000","48","1","42954","0.969437000"
