frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"67","14:17:01.493139","52","1","100.64.0.5","38190","2.497117000","0","1441","5000","2.499115000"
"68","14:17:01.493174","100","1585","172.26.191.172","5000","2.497152000","48","1","38190","2.499150000"
"69","14:17:01.493198","52","1","100.64.0.5","38190","2.497176000","0","1585","5000","2.499174000"
"70","14:17:01.493216","100","1633","172.26.191.172","5000","2.497194000","48","1","38190","2.499192000"
"71","14:17:01.493218","100","1681","172.26.191.172","5000","2.497196000","48","1","38190","2.499194000"
"72","14:17:01.493223","100","1729","172.26.191.172","5000","2.497201000","48","1","38190","2.499199000"
"73","14:17:01.743181","52","1","100.64.0.5","38190","2.747159000","0","1777","5000","2.749157000"
"74","14:17:01.743220","100","1777","172.26.191.172","5000","2.747198000","48","1","38190","2.749196000"
"75","14:17:01.743229","100","1825","172.26.191.172","5000","2.747207000","48","1","38190","2.749205000"
"76","14:17:01.743240","100","1873","172.26.191.172","5000","2.747218000","48","1","38190","2.749216000"
"77","14:17:01.743242","100","1921","172.26.191.172","5000","2.747220000","48","1","38190","2.749218000"
"78","14:17:01.743247","100","1969","172.26.191.172","5000","2.747225000","48","1","38190","2.749223000"
"79","14:17:01.993343","52","1","100.64.0.5","38190","2.997321000","0","1969","5000","2.999319000"
"80","14:17:01.993382","100","2017","172.26.191.172","5000","2.997360000","48","1","38190","2.999358000"
"81","14:17:01.993392","100","2065","172.26.191.172","5000","2.997370000","48","1","38190","2.999368000"
"82","14:17:01.993402","100","2113","172.26.191.172","5000","2.997380000","48","1","38190","2.999378000"
"83","14:17:01.993404","100","2161","172.26.191.172","5000","2.997382000","48","1","38190","2.999380000"
"84","14:17:02.243421","64","1","100.64.0.5","38190","3.247399000","0","1969","5000","3.249397000"
"85","14:17:02.243452","100","1969","172.26.191.172","5000","3.247430000","48","1","38190","3.249428000"
"86","14:17:02.243476","64","1","100.64.0.5","38190","3.247454000","0","1969","5000","3.249452000"
