frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"66","15:24:11.663271","100","2401","172.26.191.172","5000","0.270687000","48","1","43536","0.272614000"
"67","15:24:11.663272","100","2449","172.26.191.172","5000","0.270688000","48","1","43536","0.272615000"
"68","15:24:11.663280","100","2497","172.26.191.172","5000","0.270696000","48","1","43536","0.272623000"
"69","15:24:11.663281","100","2545","172.26.191.172","5000","0.270697000","48","1","43536","0.272624000"
"70","15:24:11.663287","52","1","100.64.0.5","43536","0.270703000","0","1153","5000","0.272630000"
"71","15:24:11.663296","100","2593","172.26.191.172","5000","0.270712000","48","1","43536","0.272639000"
"72","15:24:11.663297","100","2641","172.26.191.172","5000","0.270713000","48","1","43536","0.272640000"
"73","15:24:11.663312","100","2689","172.26.191.172","5000","0.270728000","48","1","43536","0.272655000"
"74","15:24:11.663313","100","2737","172.26.191.172","5000","0.270729000","48","1","43536","0.272656000"
"75","15:24:11.692937","52","1","100.64.0.5","43536","0.300353000","0","1249","5000","0.302280000"
"76","15:24:11.692973","100","2785","172.26.191.172","5000","0.300389000","48","1","43536","0.302316000"
"77","15:24:11.692980","100","2833","172.26.191.172","5000","0.300396000","48","1","43536","0.302323000"
"78","15:24:11.692991","100","2881","172.26.191.172","5000","0.300407000","48","1","43536","0.302334000"
"79","15:24:11.692993","100","2929","172.26.191.172","5000","0.300409000","48","1","43536","0.302336000"
"80","15:24:11.693004","52","1","100.64.0.5","43536","0.300420000","0","1345","5000","0.302347000"
"81","15:24:11.693014","100","2977","172.26.191.172","5000","0.300430000","48","1","43536","0.302357000"
"82","15:24:11.693016","100","3025","172.26.191.172","5000","0.300432000","48","1","43536","0.302359000"
"83","15:24:11.693024","100","3073","172.26.191.172","5000","0.300440000","48","1","43536","0.302367000"
"84","15:24:11.693026","100","3121","172.26.191.172","5000","0.300442000","48","1","43536","0.302369000"
"85","15:24:11.693032","52","1","100.64.0.5","43536","0.300448000","0","1441","5000","0.302375000"
"86","15:24:11.693041","100","3169","172.26.191.172","5000","0.300457000","48","1","43536","0.302384000"
"87","15:24:11.693043","100","3217","172.26.191.172","5000","0.300459000","48","1","43536","0.302386000"
"88","15:24:11.693050","100","3265","172.26.191.172","5000","0.300466000","48","1","43536","0.302393000"
"89","15:24:11.693051","100","3313","172.26.191.172","5000","0.300467000","48","1","43536","0.302394000"
"90","15:24:11.753874","52","1","100.64.0.5","43536","0.361290000","0","1537","5000","0.363217000"
"91","15:24:11.753912","100","3361","172.26.191.172","5000","0.361328000","48","1","43536","0.363255000"
"92","15:24:11.753922","100","3409","172.26.191.172","5000","0.361338000","48","1","43536","0.363265000"
